nah	esp
amokinkantin	antiguamente
amoknelilmatini	desagradecido
amokotontlani	necio
amokuali	malo
amokualnesi	feo
amolayotl	shampoo
amoli	jabón
amolistli	negación
amolkaxitl	jabonera
amomikmana	negar
amomotlaliani	andariego
amomotokilismak	inquilino
amonamiki	diferir
amonamiktli	discrepancia
amonauatilmak	imprudente
amonauatilmatini	odioso
amoneltika	dudosamente
amoneneukayotl	diferencia
amoneneuki	diferenciar
amoneuki	diferente
amonimanauati	callar
amoninokaki	inconforme
amono	tampoco
amonotsalani	deprimido
amopatik	barato
amopiluani	verdugo
amosan	sino
amosaneli	osado
amosaneltsoyani	caritativo
amosaneltsoyotl	caridad
amosankenani	virtuoso
amosayotl	paradigma
amoteoni	ateo
amotlaixtilili	despreciado
amotlakpak	bajo
amotlakuauak	ostinado
amotlamini	infinito
amotlapaltik	cobarde
amotlapaltik	incoloro
amotlasotli	gratis
amotlatini	desatento
amotlattilistli	desatención
amotlaueli	manso
amotlein	nada
amouan	vuestro
amoueli	imposible
amoxatli	librería
amoxexelistli	capítulo
amoxikuilo	literato
amoxiutlatiani	bibliotecario
amoxkali	librero
amoxmatki	alfabeta
amoxpouani	lector
amoxtentli	margen
amoxtin	libros
amoxtlajtoalpeualistli	prólogo
amoxtlajtoli	glosario
amoxtlajtoltsintli	índice
amoxtlajtoyotl	literatura
amoxtlatiloyan	biblioteca
amoxtli	libro
amoxtlikoyan	librería
ana	tomar
anak	marginado
anakmosatlani	aislado
anali	allende
analko	allende
andaloxtekatl	gitano
anej	adios
anekilistli	superfluo
anekiloyotl	vanidad
anekotona	escasear
anekotonalistli	escasez
anematilistli	necesidad
anemokaknekili	disimulado
anemokkakneki	disimular
anemokkanekilistli	disimulo
anemokkanekini	disimulador
anepalko	bahía
anetlakualtilili	depravado
anetlakualtilistli	depravación
aneuan-	ellos
aneuantin	ellos
aneuatsi	útil
anglitekatl	inglés
anglitl	inglés
anglitlalpan	inglaterra
anglitlaltekatl	anglicano
anilitia	traer
aninokotontlani	tacaño
aninomamati	descarar
aninomamatini	descarado
aniuaya	transportar
ankimo	diariamente
ansterdania	ámsterdam
anxeli	ángel
anxelin	ángel
aokaya	apenas
aokichyolo	miedoso
aokkichyolo	miedoso
aoktli	pulque
aokueli	insoportable
aompaneuak	pendejo
aompaneualistli	pendejada
aompaneui	desgraciado
aompayotl	desgracia
aontenekini	inconveniente
aotlakanamiyotl	ociosidad
aoui	seguro
apachakatl	arroyo
apachioualistli	diluvio
apachtli	apache
apancholoa	saltar
apancholoani	saltador
apancholoanilistli	salto
apankayotl	marino
apantlakuiuayan	dique
apantli	acequia
apapachoa	apapachar
apastetl	cazuela
apastlapaloni	tina
apastli	coladera
apatiuki	barato
apichauki	entelerido
apinaua	desvergonzar
apinauali	desvergonzado
apinaualistli	vergüenza
apipiloluastli	mosquete
apipiyalotl	libélula
apismiki	inanición
apitsali	cámara
apitsatli	diarrea
apitsmikini	hambriento
apitsmikistli	hambruna
apitsolistli	gula
apojtli	vapor
apolanko	wc
apolankoyan	wc
apopokatl	geiser
aposonali	ámbar
apotsonakilotl	espuma
apotsonali	nata
apotsontli	espuma
apoxkauki	enlamar
apoxtoli	apóstol
aragonekatl	aragonés
aragoni	aragonés
aragonia	aragón
aroba	aruba
arrankado	tlaquixtilli
asauyatl	asenso
asej	quizá
aselana	espulgar
aseli	liendre
aselin	liendre
aseloni	liendroso
asemeli	desagradable
aserbaiyanekatl	azerbaiyano
aserbaiyatl	azerbaijano
aserbayania	azerbaiyán
asesekpan	iceberg
asesexokotl	frutilla
asetl	aguanieve
asikamati	comprender
asikamatili	comprendido
asiki	localizado
asiki	localizar
asitiuetsi	arrebatar
asitl	alcance
asitlali	aljófar
asitlalin	aljófar
asiuamichtli	sirena
askamoli	escamoles
askapotsali	hormiguero
askaxali	hormiguero
aski	casi
asmej	alas
aso	probablemente
asomali	calma
asomaluauetl	experiencia
astapiltik	blancura
astektli	aspa
astitok	alado
astli	ala
atak	ausente
ateixkoa	atreverse
ateixkotlachialistli	atrevimiento
ateixkotlachiani	atrevido
atekakini	desobediente
atekauki	molesto
atekaxmatemaloyan	alberca
atekochtlali	aljibe
atekochtlaltin	aljibes
atekochtli	jaguëy
atekochtsakuali	presa
atemalistli	hidropesía
atemi	empiojar
atemoktli	cascada
atemostli	cascada
atemouia	enfrentar
atempachtli	piojoso
atenamachpan	súbitamente
atenamitl	tejado
atenia	atenas
ateskatl	lago
atetechasini	bravo
atetlakamatilistli	desobediencia
atetlakamatini	desobediente
atexakatl	almeja
atia	derretirse
atik	esfumado
atilia	derretir
atipochoa	rellenar
atiuatsolistli	metáfora
atiuitsoa	encomendar
atiuitsouilistli	encomienda
atla	mollera
atlachaneki	marisco
atlajtoalamini	parlanchín
atlakaki	incorregible
atlakamachtili	bruto
atlakanemilistli	travesura
atlakanemini	travieso
atlakaneminilistli	disolución
atlakanesi	cruel
atlakasemeli	revoltoso
atlakasoyotl	gratis
atlakatlajtoak	descortés
atlakatlajtolistli	descortesía
atlakayotika	inhumanamente
atlakayotl	crueldad
atlakomoli	barranca
atlakuisiuatl	ninfa
atlalili	aljibe
atlalistli	hidrosfera
atlamati	presunto
atlamatilistli	presunción
atlamiki	ahogar
atlamikini	ahogado
atlanetlaminalistli	canotaje
atlaneyolo	puro
atlanteittani	gotero
atlantekatl	atlante
atlantiko	atlantida
atlapali	ala
atlasa	agonizar
atlasotli	vil
atlatl	lanzadardos
atlatlamachtili	perseguido
atlaua	ahogarse
atlauinani	aburrido
atlautli	cañón
atlauxomoli	quebrada
atle	nada
atleinakkak	inservible
atleinemik	solitario
atlekikaualistli	avaricia
atlekixkauak	codicioso
atlelitia	rebajar
atlelitilistli	rebaja
atletilistli	suicidio
atletl	aguardiente
atleueli	desdichado
atleuelitik	indiscreto
atleyeni	haragán
atlini	bebedor
atliuani	vaso
atolchiuki	atolero
atoli	atole
atomiyo	pelón
atonauilistli	fiebre
atonauki	asoleado
atototl	gaviota
atoyamichin	trucha
atoyatentli	rivera
atoyatl	río
atoyatontli	riachuelo
atsakuali	compuerta
atsakuali	presa
atsapotl	pera
atskaualo	estanque
atsontsontli	pilote
au	y
aua	reñir
auachia	rociar
auachtli	rocío
auakamoli	guacamole
auakatin	aguacates
auakatli	aguacate
auakoyan	acuario
aualistli	perfume
auatomatl	bellota
auatsalistli	agotamiento
auatsi	agotar
auauatl	carrasco
auautli	aguautle
auaxokotl	drupa
auelatoani	amordazado
auelnemilistli	refinería
aueuetl	ahuehuete
aueyak	nivel
auiak	fragante
auiakatl	desodorante
auiakpopotli	canela
auialia	perfumar
auiankali	burdel
auikyani	turista
auikyanilistli	turismo
auikyauki	vagabundo
auikyayoa	turistear
auikyayoani	turista
auikyayotl	turismo
auilatoani	presumido
auilistli	alegría
auilkixtiani	prodigo
auilnelistli	sexo
auilnemi	fornicar
auilnemiki	lujurioso
auilnemini	vicioso
auilneminilistli	vicio
auilneyo	sexual
auilneyotl	sexualidad
auiltepolia	masturbar
auiltepolistli	masturbación
auiltikayok	deportivo
auiltikayotl	deporte
auiltsonkuitlamej	juguetones
auiltsonkuitlatl	juguetón
auineminilistli	lujuria
auitili	desodorante
auitsonxoloni	juguete
auiyak	aromatico
auiyo	aromático
auyani	teibolera
auyankali	burdel
axachtli	aluvión
axan	ahora
axeloli	delta
axia	asia
axiatekatl	asiático
axiatl	asiático
axiltili	apuntado
axin	maquillaje
axitia	acercar
axitialistli	acercamiento
axiuayan	hotel
axiuayani	hotelero
axixkali	sanitario
axixpan	muladar
axixtli	orina
axkaitl	posesión
axkampa	luego
axkan	hoy
axkanilistli	presente
axkanistika	actualmente
axkantika	actualmente
axkatia	adueñar
axkatiani	dueño
axkatianimej	dueños
axkatl	hacienda
axkauia	abundar
axkauilistli	abundancia
axkayotl	dominio
axnosiuatl	burra
axnotl	burro
axnotsatsi	rebuznar
axnotsatsilistli	rebuznido
axolokuetspalin	salamandra
axolomichin	bagre
axolotl	ajolote
axomoli	estuario
axturia	asturias
axturiatekatl	asturiano
axturiatl	asturiano
ayak	nadie
ayakachtli	sonaja
ayakuael	temprano
ayamiktlan	norte
ayamiktlani	norteño
ayamotlakxotili	crudo
ayatlekikuak	ayuno
ayaxkanyotika	lentamente
ayayanoa	desquebrajar
ayekilua	pensar
ayekimatilistli	pensamiento
ayekimatini	pensador
ayemo	todavía
ayeutiuetsi	agachar
ayi	hacer
ayok	cambiado
ayokakatsintli	desaparición
ayokalotl	caparazón
ayolomatki	imprudente
ayoluastli	pozo
ayonekutli	aguamiel
ayotli	calabaza
ayotochtin	armadillos
ayotochtli	armadillo
ayoualtlaltin	archipiélago
ayoui	fácil
ayouika	facilitar
ayouika	fácilmente
ayouilistli	facilidad
ayouitika	fácilmente
ayoyo	jugoso
ayukayotl	desacierto
b	bi
bajamaj	bahamas
barbadiaj	barbados
barselona	barcelona
belarruxia	belarus
belxika	belgica
belxikatl	belga
belxitekatl	belga
bermudiaj	bermudas
botsuantekatl	botswano
brasilia	brasil
brasiliatl	brasileño
brasiltekatl	brasileño
bruxelia	bruselas
budateotl	buda
burmia	birmania
burmianekatl	birmano
burmiatl	birmano
burundia	burundi
butanekatl	butanés
butania	bután
butaniatl	butanés
ch	chi
chachaiakistli	vocerío
chachajalakatototl	chachalaca
chachakuak	áspero
chachalakani	hablador
chachalakatl	chachalaca
chachalakatototl	chachalaca
chachalaktia	destartalar
chachalaktik	destartalado
chachalaktli	destartalador
chachalani	murmurador
chachamaua	jactarse
chachamautli	jactado
chadia	chad
chakali	camarón
chakaliui	agusanarse
chakayoli	calloso
chakmoli	gladiatorio
chalani	destemplado
chalchiuitl	esmeralda
chalchiukali	joyería
chalchiukomolan	chalchicomula
chalchiuximatki	joyero
chalkani	ciénaga
chalkatl	chalca
chalko	xalco
chamako	chamaco
chamaokosok	chamagoso
chamaua	engordar
chamauak	crecido
chancho	desaliñado
chanej	casero
chanek	salvaje
chaneki	cheneque
chankali	departamento
chanti	vivir
chantia	vivir
chantin	casas
chantlakauan	familia
chantlalkali	granja
chantlayokan	condominio
chantli	casa
chapani	desprender
chapankini	empapado
chapoli	saltamontes
chapolin	chapulín
chauakatl	chabacano
chauakuauitl	albaricoque
chauastin	celos
chauatilia	celar
chauatl	celoso
chauauani	chihuahuense
chauitstli	plaga
chayotli	chayote
chialia	ingeniar
chiankaka	azucarar
chiankakatetl	mazapán
chiankakatl	azúcar
chiankakayo	azucarado
chiantletl	diesel
chiapanekatl	chiapaneco
chiapatl	chiapaneco
chiapopojtli	carretera
chiapopotl	chapopote
chiapopotlani	petrolero
chiatl	chía
chiauik	grasoso
chiauikayotl	aceite
chiauisotl	grasa
chiauitl	oruga
chiauitli	aceite
chichani	escupidor
chichetl	alhaja
chichi	perro
chichik	amargo
chichikatl	hiel
chichikaui	mancha
chichiki	descarado
chichikitsatsilistli	grito
chichikok	disparejo
chichikoli	bisabuelo
chichiktik	amargoso
chichikuilotl	chichicuilote
chichilamatl	bisabuela
chichiliuili	enrojecido
chichiltik	rojo
chichiltototl	petirrojo
chichimej	perros
chichimekaj	chichimecas
chichimekatl	chichimeca
chichinakatl	dolor
chichinaktik	doloroso
chichinatsali	afligido
chichini	mamador
chichinik	mamado
chichininpoli	mamón
chichinki	chupador
chichinoa	quemar
chichinoli	quemado
chichinolistli	incendio
chichipaltik	bello
chichipina	destilar
chichipinili	destilado
chichipinilistli	destilación
chichiti	amamantar
chichitili	amamantado
chichitlauelilo	rabioso
chichitlauelilokayotl	rabia
chichitli	mancha
chichiuali	seno
chichiuauake	ladrerío
chichiuayoli	mamila
chichiuia	arremedar
chichiuili	arremedado
chichiuilistli	arremedo
chichiyotl	perruno
chikalotl	abrojo
chikauak	duro
chikaualistli	fortaleza
chikaukayotl	dureza
chikautilistli	fuerza
chikautok	fuerte
chikimolin	ruiseñor
chikitl	chico
chikiton	chiquito
chikitsin	chiquitín
chikiuitl	canasta
chikiutapayolistli	básquetbol
chiknaumiktlan	inframundo
chiknautopan	cielo
chiko	junto
chikome	siete
chikomeiluitl	domingo
chikotlamanilistli	sospecha
chikotlamatini	celoso
chikoyoloa	sospechar
chikoyoloani	sospechoso
chikoyotl	sospecha
chiktli	chicle
chikuakoli	callado
chikuase	seis
chikuaseiluitl	sábado
chilakatl	chilaca
chilakili	chilaquil
chilakilitl	chilaquil
chilantekatl	chileno
chilatl	chilate
chilatoli	chile-atole
chili	chile
chilkamojtli	rábano
chilkaxitl	salsera
chilmamoli	salsa
chilmoli	chilmole
chiltik	rojo
chiltototl	calandria
chilxiuitl	especia
chimali	escudo
chimalkaltia	escudarse
chimalki	escudero
chimiskoli	chisme
chimiskouia	chismorrear
chimiskouik	chismoso
chinamilpan	chinampa
chinamitl	cerco
chinkatl	deshorden
chinkua	chingar
chinkualaktli	chingadera
chinkuali	jodido
chinkualnematini	alergico
chinkualsauatl	urticaria
chipakkaltik	reluciente
chipauakanelistli	castidad
chipauayotl	pureza
chipeliueskixtia	herir
chipeliui	herida
chiprianekatl	chipriota
chipriatl	chipriota
chisiuinakilistli	dolor
chitik	chicloso
chiualistli	forma
chiualtlakatl	culto
chiualtlakayotl	cultura
chiuatlajtoli	verbo
chiuaualistli	ladrido
chiuauani	chihuahuense
chiuauatekatl	chihuahuense
chiuauatl	chihuahuense
chokakilistli	llanto
chokalistli	llanto
chokiktli	bramido
chokilistli	llanto
chokistli	chillido
choloa	huir
chololi	corrido
cholololi	despeñado
chololtekatl	cholulteca
chontali	extranjero
chontalmamatilistli	xenofobia
chontalmamatli	xenofóbico
chukan	teatro
d	di
dania	dinamarca
daniatekatl	danés
daniatl	danés
dekaxitl	dedal
disiembri	diciembre
dixketl	diskette
domingo	domingo
dominika	dominca
dominikatl	dominicano
dominitekatl	dominicano
e	e
ejekaixnamikilistli	contraviento
ejekakiauitl	tempestad
ejekakoamixtli	tromba
ejekalistli	atmósfera
ejekalkixoayan	aeropuerto
ejekamalakatl	remolino
ejekamej	aires
ejekanamiktilistli	huracán
ejekatemoani	paracaidista
ejekatl	viento
ejekatlapalki	aérodeslizador
ejekatsakauiloni	aventador
ejekatsakuili	rompeviento
ejemi	apolillarse
ekakoyoktli	gárgola
ekatl	soya
ekatsakuili	anorak
ekauastik	escala
ekauastilistli	proporción
ekauyo	protector
ektli	concha
ekyolotli	nácar
elchichinatl	agruras
eleki	convencer
elekia	convencerse
elekili	convencido
elekiltin	convencidos
elekitl	convencimiento
eleli	pena
elepanomitl	marfil
eleuia	desear
eli	hígado
eliutili	deseoso
eliutilistli	deseo
eliutistik	deseoso
elkokolistli	hepatitis
elkomali	espalda
elotl	elote
eloxochitl	magnolia
elpanchichiko	calvario
elpantli	pecho
elsisiui	suspirar
elsisiuilistli	suspiro
eltapachtli	hígado
eltsatsaki	tartamudo
eltsatsakini	tartamudo
eltsatsakui	tartamudear
eltsotsoli	papada
eluayotl	alma
emej	frijoles
enero	enero
epyolopisili	aljófar
esisiutli	carnal
eskoktli	vena
eslovakia	eslovaquia
eslovenekatl	esloveno
eslovenia	eslovenia
esloveniatl	esloveno
esnakakuitlaxkotli	morcilla
eso	sangrar
esoli	sangrado
esolistli	sangría
esoloni	sangradera
esoltesoni	sangrador
esoni	sangriento
estekpatl	ágata
estlatlaxtini	tuberculoso
estli	sangre
estokolmo	estocolmo
estonekatl	estonio
estonia	estonia
estoniatl	estonio
esxokokuauitl	granado
esxokotl	granada
etik	pesado
etl	fríjol
etlan	frijolar
etontli	habichuela
etsona	agitar
etsonki	agitador
etsontilistli	agitación
etsontli	agitado
eua	partir
euamatl	pergamino
euamekatl	correa
euanelpiloli	cinturón
euapetlakali	maleta
euapitskali	talabartería
euatl	cuero
euatlamamali	cazadora
euatlapitsalnemini	gaitero
euaueuetl	pandero
euaxikipili	alforja
euayotlastli	escamado
euro	euro
exotl	chícharo
exotontli	habichuela
eyopan	anteantier
f	fi
febrero	febrero
filandia	finlandia
filantekatl	finlandés
filatl	finlandés
g	gi
gabonekatl	gabonés
gaboniatl	gabonés
galitekatl	francés
galitl	francés
galixiatl	gallego
galixitekatl	gallego
gania	ghana
gelagetsa	guelaquetza
gelatinatl	gelatina
granadatl	granadino
granadia	granada
granatekatl	granadino
ichantletl	infierno
ichkakonetilmali	mameluco
ichkakonetl	cordero
ichkamej	ovejas
ichkanemastli	playera
ichkapia	pastorear
ichkapixkayotl	pastoril
ichkapixki	pastor
ichkasoli	estopa
ichkatlamamali	chamarra
ichkatlapopoloak	borra
ichkatsomitl	lana
ichpochsiuatl	dama
ichpochtin	doncellas
ichpochtli	donsella
ichpochyotl	virginidad
ichpokakonetl	damita
ichpotikayotl	vaporoso
ichtakayo	confidencial
ichtakayotl	secreto
ichteki	robar
ichtekke	ladrones
ichtekki	ladrón
ichtlakatlajtopiani	secretario
ijitlakolistli	análisis
ijiyotia	respirar
ijiyouia	soportar
ijiyouili	soportado
ijiyouilistli	soporte
ijkin	así
ijkon	así
ijkuaili	aportado
ijkuailia	aportar
ijkuak	cuando
ijkuiloa	escribir
ijkuilotik	escrito
ijtlako	descompuesto
ijtlakoa	descomponer
ijtoa	decir
ijyotl	aliento
ik	por
ika	con
ikakakistli	consonante
ikalakian	occidente
ikalakiani	occidental
ikalakini	occidental
ikalia	pelear
ikampa	atrás
ikan	como
ikatok	erecto
ikimej	bastantes
ikisayan	oriente
ikisayo	oriental
ikitilistli	tejido
ikitiualoyan	telar
ikitiuatli	tela
iknelia	ayudar
iknelilistli	atuda
ikneliyotl	caridad
iknitl	hermano
ikniupili	amiguito
ikniupipil	amiguitos
ikniutiloni	amigable
ikniutli	amigo
ikniuyaoyotl	revolución
ikniuyo	amistoso
iknoakayotl	piedad
iknoli	miserable
iknomati	comprender
